,Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
10,havo,Comenius Lyceum Amsterdam - v.a. havo,Damstede - v.a. havo,Gerrit van der Veen College - v.a. havo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Calandlyceum - havo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Marcanti College - v.a. vmbo-b,Lumion - vwo,DENISE - Denise TL - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Cartesius Lyceum - v.a. havo,Geert Groote College - v.a. havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,havo,Xplore - v.a. vmbo-t,Cornelius Haga Lyceum - vwo,Wellantcollege Sloten - v.a. vmbo-b,De Amsterdamse MAVO - v.a. vmbo-t,Ignatiusgymnasium - vwo,College De Meer - v.a. vmbo-b,Montessori Lyceum Amsterdam - v.a. vmbo-t,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - v.a. vmbo-t,College De Meer - v.a. vmbo-t,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Gerrit van der Veen College - kunst+klas  - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Ir. Lely Lyceum - v.a. vmbo-t,Wellantcollege Sloten - v.a. vmbo-b,Vossius Gymnasium - vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Over-Y - v.a. vmbo-t,Metis Montessori Lyceum - Technasium vwo - vwo,Lumion - Kansrijk VWO - havo/vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,IJburg College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,havo,Damstede - v.a. havo,Gerrit van der Veen College - v.a. havo,SvPO Amsterdam - v.a. havo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Bindelmeer College - v.a. vmbo-b,Clusius College - Kansrijk Kader - vmbo-b/k,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Berlage Lyceum - Tweetalig - v.a. havo,Hervormd Lyceum West - v.a. vmbo-t,Cornelius Haga Lyceum - v.a. havo,Geert Groote College - v.a. vmbo-t,SvPO Amsterdam - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,havo,Hervormd Lyceum Zuid - v.a. havo,Ir. Lely Lyceum - v.a. vmbo-t,Cburg College - Kansrijk Kader - vmbo-b/k,College De Meer - v.a. vmbo-t,Het 4e Gymnasium - vwo,IVKO - v.a. havo,Geert Groote College - vwo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Calandlyceum - vmbo-t/havo,Cornelius Haga Lyceum - v.a. havo,Calandlyceum - havo/vwo,Hervormd Lyceum West - Tweetalig - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Ignatiusgymnasium - vwo,CSB - Kansrijk HAVO - vmbo-t/havo,SvPO Amsterdam - vwo,Geert Groote College - Kansrijk VWO - havo/vwo,College De Meer - v.a. vmbo-b,Vox College - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Hervormd Lyceum Zuid - vwo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Open Schoolgemeenschap Bijlmer - vwo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,havo,Spinoza Lyceum - v.a. havo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Calvijn College - Kansrijk Kader - vmbo-b/k,Over-Y - havo,Mundus College - vmbo-t,Fons Vitae Lyceum - v.a. havo,Hyperion Lyceum - vwo,Cornelius Haga Lyceum - v.a. havo,Calandlyceum - Technasium - vwo,Huygens College - v.a. vmbo-b,Wellantcollege Linnaeus - v.a. vmbo-b,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,havo,Cartesius Lyceum - v.a. havo,Spinoza20first - v.a. vmbo-t,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Alasca - v.a. havo,Bredero Beroepscollege - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Open Schoolgemeenschap Bijlmer - vmbo-k,Montessori Lyceum Amsterdam - vwo,Hervormd Lyceum West - v.a. havo,Calandlyceum - LOOT - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,havo,St. Nicolaaslyceum - v.a. havo,Bredero Beroepscollege - v.a. vmbo-b,Havo de Hof - v.a. havo,Lumion - vwo,Lumion - Kansrijk HAVO - vmbo-t/havo,Marcanti College - vmbo-k,Pieter Nieuwland College - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Cartesius Lyceum - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Clusius College - v.a. vmbo-b,Calandlyceum - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,havo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Alasca - v.a. havo,Hervormd Lyceum West - v.a. havo,Vinse School - v.a. vmbo-t,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Cornelius Haga Lyceum - v.a. havo,Vox College - Kansrijk VWO - havo/vwo,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,IVKO - Kansrijk HAVO - vmbo-t/havo,Sweelinck College - v.a. vmbo-t,Calandlyceum - havo/vwo,Cburg College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,havo,Hervormd Lyceum West - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Cartesius Lyceum - vwo,Bredero Mavo - v.a. vmbo-t,Pieter Nieuwland College - plus - vwo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Lumion - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Barlaeus Gymnasium - vwo,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,havo,Cornelius Haga Lyceum - v.a. havo,Pieter Nieuwland College - v.a. havo,Vinse School - v.a. vmbo-t,IVKO - DAMU - v.a. vmbo-t,Cburg College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - vmbo-k,Calandlyceum - vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,DENISE - Denise VWO - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,havo,Gerrit van der Veen College - v.a. havo,Cornelius Haga Lyceum - vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Fons Vitae Lyceum - vwo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Montessori Lyceum Amsterdam - vwo,Mediacollege Amsterdam - v.a. vmbo-b,CSB - Kansrijk VWO - havo/vwo,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Geert Groote College - Kansrijk VWO - havo/vwo,Calandlyceum - havo/vwo,Calvijn College - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Vox College - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Geert Groote College - v.a. vmbo-t,Bredero Mavo - Tweetalig - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Cornelius Haga Lyceum - v.a. havo,DENISE - Denise TL - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,havo,Damstede - v.a. havo,Calandlyceum - havo/vwo,Mediacollege Amsterdam - vmbo-t,Over-Y - v.a. vmbo-t,Calandlyceum - Technasium - havo/vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Wellantcollege Sloten - v.a. vmbo-b,Het Amsterdams Lyceum - vwo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Montessori Lyceum Oostpoort - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Huygens College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Spinoza20first - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - vwo,Geert Groote College - v.a. havo,Fons Vitae Lyceum - v.a. havo,Vox College - v.a. vmbo-b,DENISE - Denise VWO - vwo,Hervormd Lyceum Zuid - Universalis - vwo,Comenius Lyceum Amsterdam - vwo,Wellantcollege Linnaeus - v.a. vmbo-b,Marcanti College - vmbo-k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,havo,Calandlyceum - havo,Vox College - v.a. havo,IJburg College - v.a. vmbo-t,Montessori Lyceum Amsterdam - v.a. vmbo-t,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum Zuid - Universalis - vwo,Over-Y - havo,Lumion - vwo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,SvPO Amsterdam - v.a. havo,Geert Groote College - Kansrijk VWO - havo/vwo,Marcanti College - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,havo,Geert Groote College - v.a. havo,Lumion - v.a. havo,Havo de Hof - v.a. havo,Montessori Lyceum Amsterdam - v.a. havo,Berlage Lyceum - Tweetalig - vwo,Hervormd Lyceum West - v.a. vmbo-t,Calandlyceum - vmbo-t,Montessori Lyceum Amsterdam - vwo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vwo,DENISE - Denise TL - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Cartesius Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,havo,Fons Vitae Lyceum - v.a. havo,Vinse School - v.a. vmbo-t,SvPO Amsterdam - vwo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,DENISE - Denise TL - v.a. vmbo-t,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,havo,Gerrit van der Veen College - v.a. havo,DENISE - Denise Havo - v.a. havo,Spinoza Lyceum - v.a. havo,Marcanti College - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Spring High - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Hubertus & Berkhoff - v.a. vmbo-t,Wellantcollege Linnaeus - v.a. vmbo-b,Ir. Lely Lyceum - v.a. vmbo-t,Mundus College - v.a. vmbo-b,Over-Y - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,havo,Geert Groote College - v.a. havo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Vox College - Kansrijk VWO - havo/vwo,Huygens College - v.a. vmbo-b,Wellantcollege Sloten - v.a. vmbo-b,Clusius College - v.a. vmbo-b,Spinoza Lyceum - Muziekplus - v.a. havo,Sweelinck College - v.a. vmbo-t,Calandlyceum - Technasium - vwo,Hervormd Lyceum Zuid - v.a. havo,Alasca - vwo,Comenius Lyceum Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,havo,Lumion - v.a. havo,Cartesius Lyceum - vwo,St. Nicolaaslyceum - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Bindelmeer College - v.a. vmbo-b,DENISE - Denise TL - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Huygens College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Marcanti College - vmbo-k,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,havo,Berlage Lyceum - Tweetalig - v.a. havo,Spinoza Lyceum - Gymnasium - vwo,Damstede - v.a. havo,Kiem Montessori - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - v.a. havo,IVKO - v.a. havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,havo,Ir. Lely Lyceum - v.a. vmbo-t,Pieter Nieuwland College - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Huygens College - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Tweetalig - vwo,Calandlyceum - havo/vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Marcanti College - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Spinoza Lyceum - vwo,Cygnus gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,havo,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Over-Y - havo,Xplore - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,Montessori Lyceum Oostpoort - v.a. havo,Cygnus gymnasium - vwo,Hervormd Lyceum West - Tweetalig - v.a. havo,SvPO Amsterdam - v.a. havo,Lumion - Kansrijk VWO - havo/vwo,Panta Rhei - Kansrijk Kader - vmbo-b/k,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,havo,IVKO - v.a. havo,Marcanti College - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Marcanti College - vwo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Marcanti College - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,DENISE - Denise VWO - vwo,Geert Groote College - v.a. vmbo-t,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,havo,Hervormd Lyceum West - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Hervormd Lyceum West - Tweetalig - v.a. havo,Open Schoolgemeenschap Bijlmer - vmbo-k,Cygnus gymnasium - vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Geert Groote College - vwo,Barlaeus Gymnasium - vwo,CSB - Kansrijk VWO - havo/vwo,Cburg College - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,havo,Havo de Hof - v.a. havo,Cornelius Haga Lyceum - v.a. havo,Vox College - v.a. vmbo-b,De nieuwe Havo - v.a. havo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Comenius Lyceum Amsterdam - vwo,IJburg College - v.a. vmbo-t,Bredero Mavo - Tweetalig - v.a. vmbo-t,Cburg College - v.a. vmbo-b,Calandlyceum - Kansrijk VWO - havo/vwo,Berlage Lyceum - Tweetalig - vwo,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,havo,Montessori Lyceum Amsterdam - v.a. havo,Hervormd Lyceum West - Tweetalig - v.a. havo,Comenius Lyceum Amsterdam - v.a. havo,Hubertus & Berkhoff - v.a. vmbo-t,Hervormd Lyceum Zuid - v.a. havo,Cornelius Haga Lyceum - v.a. vmbo-t,Gerrit van der Veen College - vwo,Lumion - v.a. vmbo-t,Zuiderlicht College - v.a. vmbo-b,Over-Y - Kansrijk HAVO - vmbo-t/havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Calandlyceum - LOOT - v.a. vmbo-t,Montessori Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,havo,Calandlyceum - havo,Marcanti College - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Geert Groote College - vwo,Geert Groote College - v.a. vmbo-t,De Amsterdamse MAVO - v.a. vmbo-t,SvPO Amsterdam - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,College De Meer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,havo,Open Schoolgemeenschap Bijlmer - v.a. havo,IJburg College - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,CSB - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - vwo,Cburg College - v.a. vmbo-b,Alasca - v.a. havo,Clusius College - Kansrijk Kader - vmbo-b/k,Bredero Mavo - Tweetalig - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Spinoza Lyceum - vwo,Vox College - vwo,Huygens College - v.a. vmbo-b,Mundus College - vmbo-t,Vossius Gymnasium - vwo,Calandlyceum - vmbo-t/havo,Hervormd Lyceum West - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vmbo-k,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Wellantcollege Sloten - vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,havo,Calandlyceum - LOOT - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Barlaeus Gymnasium - vwo,Montessori Lyceum Oostpoort - v.a. havo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Hubertus & Berkhoff - Tweetalig - vmbo-k,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Spinoza Lyceum - v.a. vmbo-t,DENISE - Denise Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,havo,Ir. Lely Lyceum - v.a. vmbo-t,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - vwo,Spinoza Lyceum - v.a. vmbo-t,Alasca - vwo,Mediacollege Amsterdam - vmbo-k,Damstede - vwo,Marcanti College - v.a. havo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - plus - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,havo,Fons Vitae Lyceum - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - v.a. vmbo-b,Mediacollege Amsterdam - vmbo-k,Zuiderlicht College - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,DENISE - Denise VWO - vwo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,St. Nicolaaslyceum - vwo,IVKO - v.a. vmbo-t,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
